,IDENTIFIER,LATEST ADMISSION DATE,RACE,GENDER,OFFENSE,Year,SENTENCE_DAYS,BOND_AMOUNT
1409,ZZSELCBJ,07/16/2018,HISPANIC,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,548,35000
1410,ZZEZBWWC,07/16/2018,WHITE,M,OTHERS,2018,0,7700
1411,ZZSRREBZ,07/16/2018,HISPANIC,M,"BURGLARY, THIRD DEGREE                DF",2018,548,157000
1412,ZZSEBEHC,07/16/2018,BLACK,M,OTHERS,2018,365,200000
1413,ZZHSRSWW,07/16/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,30,15000
1414,ZZEHRBLZ,07/16/2018,WHITE,M,OTHERS,2018,183,5000
1415,ZZHZRERW,07/16/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,91,12000
1416,ZZHZBLEE,07/16/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,1826,500000
1417,ZZSZJBSH,07/16/2018,HISPANIC,M,OTHERS,2018,548,125000
1418,ZZHWHWZR,07/17/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,0,46500
1419,ZZHCLJSC,07/17/2018,WHITE,M,OTHERS,2018,0,85000
1420,ZZHRCLCL,07/17/2018,HISPANIC,M,OTHERS,2018,365,150000
1421,ZZHZWCJE,07/17/2018,WHITE,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,350000
1422,ZZSZJWBR,07/17/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,274,10500
1423,ZZSRLCSZ,07/17/2018,WHITE,F,"ASSAULT, THIRD DEGREE                 AM",2018,0,75000
1424,ZZRCJHJE,07/17/2018,AMER IND,M,"ROBBERY, FIRST DEGREE                 BF",2018,0,500100
1425,ZZHREEBB,07/17/2018,WHITE,M,OTHERS,2018,0,105100
1426,ZZHBCBWZ,03/09/2018,WHITE,F,OTHERS,2018,365,45000
1427,ZZHCWLZL,07/17/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,250000
1428,ZZRBEEWH,07/17/2018,WHITE,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,183,100200
1429,ZZSZESBC,07/17/2018,HISPANIC,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,40000
1430,ZZSRLCHB,07/17/2018,BLACK,M,OTHERS,2018,365,100000
1431,ZZSEBESH,07/17/2018,BLACK,M,OTHERS,2018,0,2000000
1432,ZZHSJWEH,07/14/2018,BLACK,M,OTHERS,2018,0,175000
1433,ZZSZWBRC,07/17/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,609,100000
1434,ZZSRLCEB,07/17/2018,HISPANIC,M,OTHERS,2018,0,277000
1435,ZZHSHSCS,07/17/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,913,50000
1436,ZZSRLCRZ,07/17/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,122,5000
1437,ZZSRLCHC,07/17/2018,BLACK,M,OTHERS,2018,183,125000
1438,ZZSRWCWW,07/17/2018,WHITE,F,"ASSAULT, THIRD DEGREE                 AM",2018,45,20000
1439,ZZSRLCHR,07/17/2018,BLACK,M,OTHERS,2018,274,25000
1440,ZZSRSHSR,07/17/2018,HISPANIC,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,0,10500
1441,ZZHWHRRC,07/17/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,1096,151000
1442,ZZSEHWRR,07/18/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,274,3000
1443,ZZSRLCLW,07/18/2018,HISPANIC,F,VIOLATION OF PROBATION OR COND DISCHG,2018,60,2500
1444,ZZHJLLWW,07/18/2018,HISPANIC,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,200000
1445,ZZHSWECS,07/18/2018,BLACK,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,165000
1446,ZZSZBJWR,07/18/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,365,10000
1447,ZZHEJLLB,07/18/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,30,20450
1448,ZZSZCRZL,07/18/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,72500
1449,ZZRBRBRJ,07/18/2018,HISPANIC,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018,913,350000
1450,ZZHZCEHE,07/18/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,25000
1451,ZZHCLZWW,07/18/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,0,50000
1452,ZZEHLEHL,07/18/2018,WHITE,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,152,25000
1453,ZZSRLCLZ,07/18/2018,HISPANIC,M,OTHERS,2018,60,10000
1454,ZZHZBLCL,07/18/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,1461,150000
1455,ZZRHWCHJ,07/18/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,15000
1456,ZZEJWZWJ,07/18/2018,BLACK,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,365,25000
1457,ZZSZWLSS,07/18/2018,HISPANIC,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018,0,600000
1458,ZZZBBLZZ,07/19/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,10000
1459,ZZSRWJJS,07/19/2018,HISPANIC,F,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,0,20000
1460,ZZHBBWEL,07/19/2018,WHITE,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,71000
1461,ZZSRLCBB,07/19/2018,HISPANIC,M,OTHERS,2018,122,5000
1462,ZZSEBJHW,07/19/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,244,25000
1463,ZZEJCLWJ,07/19/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,122,10000
1464,ZZHLLEHS,07/19/2018,BLACK,M,OTHERS,2018,304,7900
1465,ZZRRRLSH,07/19/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,274,70000
1466,ZZRSSHHH,07/19/2018,HISPANIC,F,OTHERS,2018,0,67500
1467,ZZHBCHBW,07/19/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,548,10000
1468,ZZRSEJEB,07/19/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,274,20000
1469,ZZSRRCJC,07/19/2018,BLACK,F,INJURY OR RISK OF INJURY TO MINOR      F,2018,0,187500
1470,ZZHCCZBJ,07/19/2018,BLACK,M,"ASSAULT, FIRST DEGREE                 BF",2018,0,85000
1471,ZZSRLCBE,07/19/2018,HISPANIC,M,OTHERS,2018,274,150000
1472,ZZZWBCWE,07/19/2018,BLACK,M,"BURGLARY, THIRD DEGREE                DF",2018,913,75000
1473,ZZSZLWZH,07/20/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,1461,250000
1474,ZZSELZWJ,07/20/2018,WHITE,F,OTHERS,2018,0,60500
1475,ZZSRLBZH,07/20/2018,BLACK,M,OTHERS,2018,761,50000
1476,ZZSRLBZZ,07/20/2018,HISPANIC,M,OTHERS,2018,30,495
1477,ZZHJERWW,07/20/2018,BLACK,M,OTHERS,2018,0,75050
1478,ZZZBZLRH,07/20/2018,WHITE,M,OTHERS,2018,183,600
1479,ZZHZJELB,07/20/2018,BLACK,M,OTHERS,2018,365,27050
1480,ZZHJRECE,07/20/2018,HISPANIC,M,OTHERS,2018,122,20000
1481,ZZHCJHCJ,07/20/2018,HISPANIC,M,OTHERS,2018,0,150000
1482,ZZERHRBR,07/20/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,1096,100100
1483,ZZZBJBBW,07/20/2018,WHITE,M,"BURGLARY, THIRD DEGREE                DF",2018,1826,263000
1484,ZZSRSEWE,07/23/2018,WHITE,F,OTHERS,2018,0,355000
1485,ZZSESEER,07/23/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,60,85000
1486,ZZHLHBZS,07/23/2018,WHITE,M,OTHERS,2018,732,22000
1487,ZZEECLSS,07/23/2018,WHITE,M,OTHERS,2018,548,261500
1488,ZZZJSHZE,07/23/2018,BLACK,M,OTHERS,2018,183,20000
1489,ZZHLEWHS,07/23/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,45,10000
1490,ZZHWHWCE,07/23/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,50000
1491,ZZEBSLRR,07/23/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,548,26000
1492,ZZRERCWE,07/23/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,0,350000
1493,ZZHJSWEE,07/23/2018,HISPANIC,M,"ASSAULT, FIRST DEGREE                 BF",2018,1826,517500
1494,ZZSRLBRE,07/23/2018,HISPANIC,M,"ASSAULT, FIRST DEGREE                 BF",2018,1461,100000
1495,ZZSZHWWJ,07/23/2018,WHITE,M,OTHERS,2018,183,83500
1496,ZZRSWJHH,07/23/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,152,35000
1497,ZZHRJHBC,07/21/2018,BLACK,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,250000
1498,ZZSRZLWH,07/23/2018,BLACK,M,OTHERS,2018,731,330000
1499,ZZHEJEHS,07/23/2018,BLACK,F,VIOLATION OF PROBATION OR COND DISCHG,2018,365,135000
1500,ZZRSHZWH,07/23/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,0,10500
1501,ZZHHSHLC,07/23/2018,BLACK,M,OTHERS,2018,0,140000
1502,ZZSRHCRB,07/23/2018,WHITE,M,OTHERS,2018,0,177000
1503,ZZEBBSEW,07/23/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,150000
1504,ZZRRHECJ,07/24/2018,HISPANIC,M,OTHERS,2018,183,20000
1505,ZZSRWJCR,07/24/2018,WHITE,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,548,65000
1506,ZZHCZRHL,07/24/2018,BLACK,F,OTHERS,2018,0,375700
1507,ZZHSHLEW,07/24/2018,HISPANIC,M,"BURGLARY, THIRD DEGREE                DF",2018,183,7600
1508,ZZSRRLBJ,07/24/2018,WHITE,F,OTHERS,2018,30,100
1509,ZZSRHJEJ,07/24/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,45,10000
1510,ZZSRHJRH,07/24/2018,WHITE,F,OTHERS,2018,548,91000
1511,ZZRSJSWS,04/20/2018,HISPANIC,M,"ASSAULT, THIRD DEGREE                 AM",2018,90,5000
1512,ZZHCHLZE,07/24/2018,BLACK,M,OTHERS,2018,0,370100
1513,ZZEWSEHB,07/24/2018,WHITE,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,548,75000
1514,ZZHSSCCZ,07/23/2018,WHITE,M,"BURGLARY, THIRD DEGREE                DF",2018,0,20000
1515,ZZSZBLHE,06/18/2018,BLACK,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,0,151500
1516,ZZHWSWRR,07/25/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,60,50000
1517,ZZHZJEHW,07/25/2018,BLACK,M,OTHERS,2018,0,750000
1518,ZZSEBRJJ,07/25/2018,WHITE,M,OTHERS,2018,0,130000
1519,ZZHJLSWZ,07/25/2018,HISPANIC,F,VIOLATION OF PROBATION OR COND DISCHG,2018,183,210000
1520,ZZHSCCSH,07/25/2018,BLACK,M,OTHERS,2018,365,500000
1521,ZZHCLCRC,07/25/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,0,51000
1522,ZZHBLJBW,07/25/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,913,58000
1523,ZZRRRJWS,07/25/2018,HISPANIC,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,310000
1524,ZZSRLBWE,07/25/2018,BLACK,M,"ASSAULT, FIRST DEGREE                 BF",2018,1096,425000
1525,ZZRSWEES,07/25/2018,BLACK,F,VIOLATION OF PROBATION OR COND DISCHG,2018,578,55500
1526,ZZRLJCWL,07/25/2018,BLACK,M,OTHERS,2018,0,56500
1527,ZZSRLBWZ,07/25/2018,WHITE,M,OTHERS,2018,91,10000
1528,ZZSEJWWJ,07/25/2018,WHITE,F,OTHERS,2018,122,35000
1529,ZZEBWELZ,07/25/2018,WHITE,M,OTHERS,2018,365,25600
1530,ZZHCJRWJ,07/25/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,90,10000
1531,ZZSZZECB,07/25/2018,BLACK,M,OTHERS,2018,0,35000
1532,ZZHZZLEW,07/25/2018,WHITE,M,OTHERS,2018,183,12500
1533,ZZHWBWLS,07/25/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,731,25000
1534,ZZSREJJC,07/26/2018,HISPANIC,F,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,0,50000
1535,ZZHZRRER,07/26/2018,WHITE,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,50000
1536,ZZREHJJE,07/26/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,152,30000
1537,ZZSRZSRS,01/29/2018,HISPANIC,M,OTHERS,2018,183,75000
1538,ZZHSERRJ,07/26/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,365,20000
1539,ZZSRLBCB,07/26/2018,WHITE,M,OTHERS,2018,0,100000
1540,ZZHEWWEE,07/26/2018,WHITE,M,OTHERS,2018,761,70000
1541,ZZREJLBL,07/26/2018,BLACK,M,"ASSAULT, THIRD DEGREE                 AM",2018,30,10000
1542,ZZSRWBZE,07/26/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,30,15000
1543,ZZSRLBCR,07/26/2018,HISPANIC,M,OTHERS,2018,365,125000
1544,ZZZBRJEJ,07/26/2018,WHITE,M,OTHERS,2018,30,2500
1545,ZZRRHECJ,07/24/2018,HISPANIC,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,183,40000
1546,ZZRBLLZE,07/27/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,670,150000
1547,ZZHBBLCS,07/27/2018,WHITE,F,OTHERS,2018,0,5000
1548,ZZHZHZES,07/27/2018,WHITE,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,60,6250
1549,ZZSELCZS,07/27/2018,HISPANIC,M,OTHERS,2018,274,200100
1550,ZZEHBWHC,07/27/2018,BLACK,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,0,175500
1551,ZZRCRJEL,07/27/2018,WHITE,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,0,60500
1552,ZZSZBSHJ,07/26/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,60,10000
1553,ZZHCLBWE,06/25/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,90,5000
1554,ZZSEWWLC,07/27/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,90,20000
1555,ZZSRLBBS,07/27/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,90,27050
1556,ZZHJBBWS,07/27/2018,WHITE,M,OTHERS,2018,731,25000
1557,ZZSZSBCW,07/27/2018,HISPANIC,F,VIOLATION OF PROBATION OR COND DISCHG,2018,183,80000
1558,ZZHJCEBR,07/27/2018,HISPANIC,M,OTHERS,2018,365,300000
1559,ZZEEZRRC,07/27/2018,BLACK,M,OTHERS,2018,90,20000
1560,ZZHBEHHS,07/28/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,0,51000
1561,ZZRCERCW,07/30/2018,HISPANIC,F,OTHERS,2018,1461,100000
1562,ZZRSJBBZ,07/30/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,731,5000
1563,ZZHCEBBH,07/30/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,30,50500
1564,ZZSEHLJH,07/30/2018,HISPANIC,M,OTHERS,2018,183,10000
1565,ZZSRLJEE,07/30/2018,BLACK,M,OTHERS,2018,365,33000
1566,ZZSZRWWB,07/30/2018,BLACK,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018,1096,605600
1567,ZZSZLRWW,07/30/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,396,15000
1568,ZZHCHSJB,07/30/2018,HISPANIC,M,"BURGLARY, THIRD DEGREE                DF",2018,0,12000
1569,ZZHBZCCZ,07/30/2018,HISPANIC,M,OTHERS,2018,731,20000
1570,ZZHSWSRC,07/30/2018,WHITE,F,OTHERS,2018,609,10600
1571,ZZHLLRRB,07/30/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,111500
1572,ZZRCRLHJ,07/16/2018,BLACK,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,0,350000
1573,ZZRHLEEC,07/30/2018,BLACK,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,0,100000
1574,ZZRCEHRS,07/30/2018,WHITE,M,OTHERS,2018,30,100000
1575,ZZHEJLEB,07/30/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,183,8500
1576,ZZRZLJEH,07/30/2018,BLACK,M,OTHERS,2018,0,180000
1577,ZZRJEZZB,07/30/2018,HISPANIC,M,OTHERS,2018,457,35500
1578,ZZELWRES,07/31/2018,HISPANIC,M,OTHERS,2018,85,20000
1579,ZZRZZHBW,07/18/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,913,25000
1580,ZZHJESHJ,07/31/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,6000
1581,ZZRWBHLR,08/01/2018,HISPANIC,M,OTHERS,2018,913,141500
1582,ZZHBRBBH,08/01/2018,WHITE,F,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,0,266000
1583,ZZSRWESW,08/01/2018,WHITE,M,OTHERS,2018,0,30000
1584,ZZRBHWRW,03/23/2018,BLACK,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,0,21500
1585,ZZSEZECB,08/01/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,1461,100000
1586,ZZHJZBZW,08/01/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,0,160000
1587,ZZREHZSH,05/09/2018,HISPANIC,M,OTHERS,2018,731,40000
1588,ZZSZCBZJ,08/01/2018,HISPANIC,M,OTHERS,2018,365,110000
1589,ZZSRLJSJ,08/01/2018,WHITE,M,"ROBBERY, FIRST DEGREE                 BF",2018,2192,220000
1590,ZZSRLJWC,08/01/2018,WHITE,M,"BURGLARY, THIRD DEGREE                DF",2018,244,70000
1591,ZZHJZHBH,08/01/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,548,80000
1592,ZZHHLJLC,08/02/2018,BLACK,F,OTHERS,2018,0,3000
1593,ZZSRLJBZ,08/02/2018,HISPANIC,M,OTHERS,2018,0,285050
1594,ZZHWWHZR,08/02/2018,WHITE,F,OTHERS,2018,365,50000
1595,ZZRBCJSZ,08/02/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,1096,50000
1596,ZZSRLJBH,08/02/2018,WHITE,F,OTHERS,2018,60,5000
1597,ZZSRLJLB,08/02/2018,WHITE,M,OTHERS,2018,60,5000
1598,ZZHJSHHL,08/02/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,731,51000
1599,ZZHHBEZJ,08/02/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,75000
1600,ZZHLHBJB,08/02/2018,BLACK,M,"ROBBERY, FIRST DEGREE                 BF",2018,0,101000
1601,ZZHBHLCZ,08/02/2018,HISPANIC,M,OTHERS,2018,0,300000
1602,ZZSRLZSC,05/29/2018,BLACK,F,OTHERS,2018,183,10010
1603,ZZEZJHHS,08/03/2018,BLACK,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,183,2500
1604,ZZHZCHRH,08/03/2018,HISPANIC,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,365,100000
1605,ZZHCLLCB,08/03/2018,BLACK,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018,0,300100
1606,ZZSRLJJJ,08/03/2018,WHITE,M,OTHERS,2018,822,1000
1607,ZZHRRWCW,08/03/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,304,11000
1608,ZZSRLJBL,08/03/2018,BLACK,M,"ASSAULT, FIRST DEGREE                 BF",2018,731,500150
1609,ZZSRLJBJ,08/03/2018,HISPANIC,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,30,13500
1610,ZZHCSWRW,08/03/2018,HISPANIC,F,VIOLATION OF PROBATION OR COND DISCHG,2018,0,35500
1611,ZZHJWSBL,08/03/2018,HISPANIC,M,OTHERS,2018,274,5050
1612,ZZHLCJRH,08/03/2018,WHITE,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,304,76150
1613,ZZSRLJJL,08/03/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,274,100000
1614,ZZSEWZJR,08/03/2018,HISPANIC,M,OTHERS,2018,0,25100
1615,ZZSRRCBC,07/13/2018,HISPANIC,M,"ASSAULT, FIRST DEGREE                 BF",2018,0,700000
1616,ZZSEJLHL,07/31/2018,BLACK,M,OTHERS,2018,274,100000
1617,ZZRRHSSL,08/03/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,25000
1618,ZZHRLLWS,04/30/2018,WHITE,F,OTHERS,2018,91,50000
1619,ZZECZJZH,08/06/2018,BLACK,M,OTHERS,2018,0,115100
1620,ZZHJZEJR,08/06/2018,HISPANIC,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,0,10700
1621,ZZSZZBLJ,08/06/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,0,319000
1622,ZZHRZEBW,08/06/2018,HISPANIC,M,"BURGLARY, THIRD DEGREE                DF",2018,2192,150000
1623,ZZSERSRS,08/06/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,100000
1624,ZZRLHLWZ,08/06/2018,HISPANIC,M,OTHERS,2018,731,15500
1625,ZZHBRWJW,08/06/2018,WHITE,F,"BURGLARY, THIRD DEGREE                DF",2018,0,150000
1626,ZZSRCZEH,08/06/2018,WHITE,F,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,0,50000
1627,ZZHBHJLE,08/06/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,213,15000
1628,ZZRCLEJZ,08/06/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,913,30000
1629,ZZRCSCEL,08/06/2018,HISPANIC,M,OTHERS,2018,0,382500
1630,ZZRWSRWL,08/06/2018,WHITE,M,OTHERS,2018,0,5000
1631,ZZEHECBS,08/06/2018,BLACK,M,OTHERS,2018,1096,150000
1632,ZZHSRZLE,08/06/2018,HISPANIC,M,OTHERS,2018,0,65995
1633,ZZSRHCER,08/06/2018,WHITE,F,"BURGLARY, THIRD DEGREE                DF",2018,548,50400
1634,ZZRSBHJJ,08/07/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,457,50000
1635,ZZHBBRLJ,08/07/2018,WHITE,M,OTHERS,2018,1461,756100
1636,ZZHHSRBS,08/07/2018,WHITE,M,OTHERS,2018,120,30000
1637,ZZSZLEZR,08/07/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,304,40500
1638,ZZHLWCEH,08/07/2018,BLACK,M,"BURGLARY, THIRD DEGREE                DF",2018,304,12000
1639,ZZSEEJBE,08/07/2018,WHITE,M,OTHERS,2018,731,251000
1640,ZZHHLSSR,08/07/2018,WHITE,M,OTHERS,2018,60,15000
1641,ZZSRLZLH,08/07/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,152,35000
1642,ZZSRCZHH,08/07/2018,WHITE,M,OTHERS,2018,122,5000
1643,ZZHZJCBR,08/07/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,274,100000
1644,ZZHEZZJB,08/08/2018,WHITE,M,"BURGLARY, THIRD DEGREE                DF",2018,0,21000
1645,ZZSRHWRE,08/08/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,0,4000
1646,ZZRSHCRL,08/08/2018,BLACK,F,VIOLATION OF PROBATION OR COND DISCHG,2018,732,60000
1647,ZZSZHHBE,08/08/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,20500
1648,ZZSEHHHR,07/15/2018,BLACK,M,"BURGLARY, THIRD DEGREE                DF",2018,731,60000
1649,ZZSRCZWL,08/08/2018,BLACK,M,OTHERS,2018,0,50000
1650,ZZSRERLH,07/31/2018,BLACK,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,365,46000
1651,ZZRRJWBL,08/08/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,50000
1652,ZZHLLZBR,08/08/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,200000
1653,ZZRLERJB,08/08/2018,BLACK,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,0,5250
1654,ZZHWBJJW,08/09/2018,WHITE,M,OTHERS,2018,731,75000
1655,ZZSEJZLL,08/09/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,731,25000
1656,ZZSZCWLL,08/09/2018,BLACK,M,OTHERS,2018,0,64000
1657,ZZHRWLBL,08/09/2018,WHITE,M,OTHERS,2018,0,351500
1658,ZZSZSESS,08/09/2018,WHITE,M,OTHERS,2018,183,50000
1659,ZZHBWBEW,08/09/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,20000
1660,ZZSZEWCB,08/09/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,1278,275000
1661,ZZSRLEHB,08/09/2018,WHITE,F,OTHERS,2018,0,60150
1662,ZZHWSWRC,08/10/2018,HISPANIC,F,VIOLATION OF PROBATION OR COND DISCHG,2018,183,2500
1663,ZZHHHLBC,08/10/2018,WHITE,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018,1096,350000
1664,ZZRWJSLR,08/10/2018,WHITE,F,INJURY OR RISK OF INJURY TO MINOR      F,2018,0,65000
1665,ZZHBBJLJ,08/10/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,90,40000
1666,ZZSZJREB,08/10/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,548,60500
1667,ZZSECZJH,08/10/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,20000
1668,ZZHLZBBW,08/10/2018,HISPANIC,M,OTHERS,2018,0,390000
1669,ZZSZSRZC,08/10/2018,WHITE,F,"ASSAULT, THIRD DEGREE                 AM",2018,90,6000
1670,ZZRRZRZR,08/10/2018,WHITE,M,OTHERS,2018,0,250000
1671,ZZRZSHCR,08/10/2018,BLACK,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,244,150900
1672,ZZSRRRER,08/13/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,213,10000
1673,ZZSRCZJC,08/13/2018,BLACK,M,OTHERS,2018,122,75000
1674,ZZEZJSRC,08/13/2018,BLACK,M,OTHERS,2018,120,1000
